ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
13,M05MCIA04,M05MCIA04_resized.jpg,せっけんは、にひゃくごじゅうえんです.mp3,せっけんは、ごひゃくえんです.mp3,せっけんは、よんひゃくえんです.mp3,せっけんは、さんぜんえんです.mp3,せっけんは、いちまんえんです.mp3,1
14,M05MCIA04,M05MCIA04_resized.jpg,タオルは、よんひゃくえんです.mp3,タオルは、ひゃくえんです.mp3,タオルは、ななひゃくえんです.mp3,タオルは、ごじゅうえんです.mp3,タオルは、ごひゃくごじゅうえんです.mp3,1
15,M05MCIA04,M05MCIA04_resized.jpg,はブラシは、ひゃくごじゅうえんです.mp3,はブラシは、にひゃくえんです.mp3,はブラシは、ろっぴゃくごじゅうえんです.mp3,はブラシは、ごひゃくえんです.mp3,はブラシは、ひゃくえんです.mp3,1
16,M05MCIA05,M05MCIA05_resized.jpg,どんぶりは、はっぴゃくえんです.mp3,どんぶりは、せんごひゃくえんです.mp3,どんぶりは、にせんえんです.mp3,どんぶりは、よんひゃくえんです.mp3,どんぶりは、よんまんえんです.mp3,1
17,M05MCIA05,M05MCIA05_resized.jpg,すしは、せんにひゃくえんです.mp3,すしは、ごひゃくえんです.mp3,すしは、よんひゃくえんです.mp3,すしは、にせんごひゃくえんです.mp3,すしは、ろくひゃくえんです.mp3,1
18,M05MCIA05,M05MCIA05_resized.jpg,ラーメンは、きゅうひゃくえんです.mp3,ラーメンは、さんびゃくえんです.mp3,ラーメンは、ひゃくえんです.mp3,ラーメンは、ごじゅうえんです.mp3,ラーメンは、はっせんえんです.mp3,1
19,M05MCIA05,M05MCIA05_resized.jpg,ぎょうざは、ごひゃくえんです.mp3,ぎょうざは、きゅうひゃくえんです.mp3,ぎょうざは、ななひゃくえんです.mp3,ぎょうざは、せんさんびゃくえんです.mp3,ぎょうざは、にじゅうえんです.mp3,1
20,M05MCIA06,M05MCIA06_resized.jpg,スパゲッティは、きゅうひゃくえんです.mp3,スパゲッティは、ごひゃくえんです.mp3,スパゲッティは、にひゃくえんです.mp3,スパゲッティは、さんぜんえんです.mp3,スパゲッティは、さんびゃくえんです.mp3,1
21,M05MCIA06,M05MCIA06_resized.jpg,ピザは、せんにひゃくえんです.mp3,ピザは、にせんえんです.mp3,ピザは、ごせんえんです.mp3,ピザは、ひゃくえんです.mp3,ピザは、さんまんえんです.mp3,1
22,M05MCIA06,M05MCIA06_resized.jpg,ペンネパスタは、せんえんです.mp3,ペンネパスタは、さんぜんえんです.mp3,ペンネパスタは、ろっぴゃくえんです.mp3,ペンネパスタは、にひゃくえんです.mp3,ペンネパスタは、ごひゃくえんです.mp3,1
23,M05MCIA06,M05MCIA06_resized.jpg,カプレーゼサラダは、ななひゃくえんです.mp3,カプレーゼサラダは、ごひゃくえんです.mp3,カプレーゼサラダは、にせんえんです.mp3,カプレーゼサラダは、はちじゅうえんです.mp3,カプレーゼサラダは、ひゃくえんです.mp3,1
24,M05MCIA07,M05MCIA07_resized.jpg,チャーシューメンは、ななひゃくごじゅうえんです.mp3,チャーシューメンは、せんえんです.mp3,チャーシューメンは、ごひゃくえんです.mp3,チャーシューメンは、ろくせんえんです.mp3,チャーシューメンは、ごじゅうえんです.mp3,1
25,M05MCIA07,M05MCIA07_resized.jpg,チャーハンは、はっぴゃくえんです.mp3,チャーハンは、さんびゃくえんです.mp3,チャーハンは、にひゃくえんです.mp3,チャーハンは、にせんえんです.mp3,チャーハンは、せんごひゃくえんです.mp3,1
26,M05MCIA07,M05MCIA07_resized.jpg,すぶたは、きゅうひゃくえんです.mp3,すぶたは、いちまんえんです.mp3,すぶたは、ごひゃくえんです.mp3,すぶたは、よんひゃくえんです.mp3,すぶたは、ひゃくにじゅうえんです.mp3,1
27,M05MCIA07,M05MCIA07_resized.jpg,にくまんは、ろっぴゃくえんです.mp3,にくまんは、ごじゅうえんです.mp3,にくまんは、ごせんえんです.mp3,にくまんは、はちひゃくえんです.mp3,にくまんは、いちまんえんです.mp3,1
28,M05MCIA08,M05MCIA08_resized.jpg,さいふは、はっせんえんです.mp3,さいふは、せんえんです.mp3,さいふは、せんにひゃくえんです.mp3,さいふは、にせんえんです.mp3,さいふは、ろっぴゃくえんです.mp3,1
29,M05MCIA08,M05MCIA08_resized.jpg,ベルトは、いちまんにせんえんです.mp3,ベルトは、ごひゃくえんです.mp3,ベルトは、ごひゃくごじゅうえんです.mp3,ベルトは、きゅうひゃくえんです.mp3,ベルトは、ごまんえんです.mp3,1
30,M05MCIA08,M05MCIA08_resized.jpg,ハーフパンツは、さんぜんえんです.mp3,ハーフパンツは、ごせんえんです.mp3,ハーフパンツは、ごせんにじゅうえんです.mp3,ハーフパンツは、ひゃくえんです.mp3,ハーフパンツは、ろっぴゃくえんです.mp3,1
31,M05MCIA08,M05MCIA08_resized.jpg,Tシャツは、にせんえんです.mp3,Tシャツは、さんぜんえんです.mp3,Tシャツは、ごまんえんです.mp3,Tシャツは、はっぴゃくえんです.mp3,Tシャツは、にじゅうえんです.mp3,1
32,M05MCIA09,M05MCIA09_resized.jpg,ジュースは、ひゃくにじゅうえんです.mp3,ジュースは、さんびゃくえんです.mp3,ジュースは、にびゃくえんです.mp3,ジュースは、ごせんえんです.mp3,ジュースは、ひゃくまんえんです.mp3,1
33,M05MCIA09,M05MCIA09_resized.jpg,べんとうは、ろっぴゃくごじゅうえんです.mp3,べんとうは、きゅうひゃくえんです.mp3,べんとうは、せんろっぴゃくごじゅうえんです.mp3,べんとうは、いちまんえんです.mp3,べんとうは、さんじゅうえんです.mp3,1
34,M05MCIA09,M05MCIA09_resized.jpg,コーヒーは、さんびゃくえんです.mp3,コーヒーは、ごじゅうえんです.mp3,コーヒーは、にびゃくえんです.mp3,コーヒーは、にひゃくごじゅうえんです.mp3,コーヒーは、ろくせんえんです.mp3,1
35,M05MCIA09,M05MCIA09_resized.jpg,ポテトチップスは、ひゃくごじゅうえんです.mp3,ポテトチップスは、にひゃくごじゅうえんです.mp3,ポテトチップスは、せんえんです.mp3,ポテトチップスは、にじゅうえん.mp3,ポテトチップスは、ごえんです.mp3,1
36,M05MCIA10,M05MCIA10_resized.jpg,カップは、にひゃくえんです.mp3,カップは、ひゃくごじゅうえんです.mp3,カップは、にひゃくじゅうえんです.mp3,カップは、さんじゅうえんです.mp3,カップは、ごじゅうえんです.mp3,1
37,M05MCIA10,M05MCIA10_resized.jpg,リモコンは、せんごやくえんです.mp3,リモコンは、さんびゃくえんです.mp3,リモコンは、じゅうえんです.mp3,リモコンは、にじゅうえんです.mp3,リモコンは、ひゃくにじゅうえんです.mp3,1
38,M05MCIA10,M05MCIA10_resized.jpg,タオルは、ななひゃくえんです.mp3,タオルは、せんえんです.mp3,タオルは、さんびゃくえんです.mp3,タオルは、ごひゃくえんです.mp3,タオルは、よんせんえんです.mp3,1
